	gene_short_name
GUCY1B2	GUCY1B2
GUCY2C	GUCY2C
GUCY2F	GUCY2F
GYG2	GYG2
GYS2	GYS2
GZF1	GZF1
GZMK	GZMK
H2AFV	H2AFV
H2AFY2	H2AFY2
H2AFY	H2AFY
H6PD	H6PD
HACE1	HACE1
HADHA	HADHA
HAGHL	HAGHL
HAL	HAL
HAO1	HAO1
HAO2	HAO2
HAS2	HAS2
HAVCR1	HAVCR1
HBP1	HBP1
HBS1L	HBS1L
HCFC1R1	HCFC1R1
HCFC2	HCFC2
HCK	HCK
HDAC1	HDAC1
HDAC2	HDAC2
HDAC4	HDAC4
HDAC9	HDAC9
HDDC2	HDDC2
HDGFL1	HDGFL1
HDLBP	HDLBP
HEATR1	HEATR1
HEATR5B	HEATR5B
HEATR6	HEATR6
HECA	HECA
HECTD1	HECTD1
HECW1	HECW1
HELLS	HELLS
HEPH	HEPH
HERC1	HERC1
HERPUD2	HERPUD2
HES1	HES1
HEXB	HEXB
HEY1	HEY1
HEY2	HEY2
HEYL	HEYL
HGD	HGD
HGF	HGF
HHAT	HHAT
HHLA2	HHLA2
HIBADH	HIBADH
HIF1A	HIF1A
HINT3	HINT3
HIPK2	HIPK2
HIPK3	HIPK3
HIRA	HIRA
HIVEP1	HIVEP1
HIVEP2	HIVEP2
HLF	HLF
HLTF	HLTF
HM13	HM13
HMGA2	HMGA2
HMGCL	HMGCL
HMGCR	HMGCR
HMGXB3	HMGXB3
HMMR	HMMR
HNF4A	HNF4A
